DATE,TITLE,ARTIST,NUMBER OF WEEKS,TITLE LENGTH,SONG LENGTH
21/05/1964,JULIET,FOUR PENNIES,1,6,2.21
28/05/1964,YOU'RE MY WORLD,CILLA BLACK,4,15,2.59
25/06/1964,IT'S OVER,ROY ORBISON,2,9,2.47
09/07/1964,THE HOUSE OF THE RISING SUN,ANIMALS,1,27,4.29
16/07/1964,IT'S ALL OVER NOW,ROLLING STONES,1,17,3.26
23/07/1964,A HARD DAY'S NIGHT,BEATLES,3,18,2.34
13/08/1964,DO WAH DIDDY DIDDY,MANFRED MANN,2,18,2.24
27/08/1964,HAVE I THE RIGHT,HONEYCOMBS,2,16,2.58
10/09/1964,YOU REALLY GOT ME,KINKS,2,17,2.14
24/09/1964,I'M INTO SOMETHING GOOD,HERMAN'S HERMITS,2,23,2.33
08/10/1964,OH PRETTY WOMAN,ROY ORBISON,2,15,2.56
22/10/1964,(THERE'S) ALWAYS SOMETHING THERE TO REMIND ME,SANDIE SHAW,3,45,2.45
12/11/1964,OH PRETTY WOMAN,ROY ORBISON,1,15,2.56
19/11/1964,BABY LOVE,SUPREMES,2,9,2.38
03/12/1964,LITTLE RED ROOSTER,ROLLING STONES,1,18,3.05
10/12/1964,I FEEL FINE,BEATLES,5,11,2.19
14/01/1965,YEH YEH,GEORGIE FAME & THE BLUE FLAMES,2,7,2.44
28/01/1965,GO NOW,MOODY BLUES,1,6,3.11
04/02/1965,YOU'VE LOST THAT LOVING FEELIN',RIGHTEOUS BROTHERS,2,31,3.44
18/02/1965,TIRED OF WAITING FOR YOU,KINKS,1,24,2.22
25/02/1965,I'LL NEVER FIND ANOTHER YOU,SEEKERS,2,27,2.42
11/03/1965,IT'S NOT UNUSUAL,TOM JONES,1,16,1.59
18/03/1965,THE LAST TIME,ROLLING STONES,3,13,3.41
08/04/1965,CONCRETE AND CLAY,UNIT FOUR PLUS TWO,1,17,2.17
15/04/1965,THE MINUTE YOU'RE GONE,CLIFF RICHARD,1,22,2.21
22/04/1965,TICKET TO RIDE,BEATLES,3,14,3.09
13/05/1965,KING OF THE ROAD,ROGER MILLER,1,16,2.28
20/05/1965,WHERE ARE YOU NOW (MY LOVE),JACKIE TRENT,1,27,2.46
27/05/1965,LONG LIVE LOVE,SANDIE SHAW,3,14,2.40
17/06/1965,CRYING IN THE CHAPEL,ELVIS PRESLEY,1,20,2.23
24/06/1965,I'M ALIVE,HOLLIES,1,9,2.25
01/07/1965,CRYING IN THE CHAPEL,ELVIS PRESLEY,1,20,2.23
08/07/1965,I'M ALIVE,HOLLIES,2,9,2.25
22/07/1965,MR TAMBOURINE MAN,BYRDS,2,17,2.29
05/08/1965,HELP!,BEATLES,3,5,2.19
26/08/1965,I GOT YOU BABE,SONNY & CHER,2,14,3.13
09/09/1965,(I CAN'T GET NO) SATISFACTION,ROLLING STONES,2,29,3.42
23/09/1965,MAKE IT EASY ON YOURSELF,WALKER BROTHERS,1,24,3.13
30/09/1965,TEARS,KEN DODD,5,5,2.51
04/11/1965,GET OFF OF MY CLOUD,ROLLING STONES,3,19,2.55
25/11/1965,THE CARNIVAL IS OVER,SEEKERS,3,20,3.12
16/12/1965,DAY TRIPPER/WE CAN WORK IT OUT,BEATLES,5,30,2.49
20/01/1966,KEEP ON RUNNING,SPENCER DAVIS GROUP,1,15,2.46
27/01/1966,MICHELLE,OVERLANDERS,3,8,2.21
17/02/1966,THESE BOOTS ARE MADE FOR WALKIN',NANCY SINATRA,4,32,2.46
17/03/1966,THE SUN AIN'T GONNA SHINE ANYMORE,WALKER BROTHERS,4,33,3.00
14/04/1966,SOMEBODY HELP ME,SPENCER DAVIS GROUP,2,16,2.02
28/04/1966,YOU DON'T HAVE TO SAY YOU LOVE ME,DUSTY SPRINGFIELD,1,33,2.48
05/05/1966,PRETTY FLAMINGO,MANFRED MANN,3,15,2.29
26/05/1966,"PAINT IT, BLACK",ROLLING STONES,1,15,3.22
02/06/1966,STRANGERS IN THE NIGHT,FRANK SINATRA,3,22,2.37
23/06/1966,PAPERBACK WRITER,BEATLES,2,16,2.18
07/07/1966,SUNNY AFTERNOON,KINKS,2,15,3.30
21/07/1966,GET AWAY,GEORGIE FAME & THE BLUE FLAMES,1,8,2.31
28/07/1966,OUT OF TIME,CHRIS FARLOWE,1,11,3.12
04/08/1966,WITH A GIRL LIKE YOU,TROGGS,2,20,2.08
