DATE,TITLE,ARTIST,NUMBER OF WEEKS,TITLE LENGTH,SONG LENGTH
29/06/1991,ANY DREAM WILL DO,JASON DONOVAN,2,17,3.53
13/07/1991,(EVERYTHING I DO) I DO IT FOR YOU,BRYAN ADAMS,16,33,6.33
02/11/1991,THE FLY,U2,1,7,4.35
09/11/1991,DIZZY,VIC REEVES & THE WONDER STUFF,2,5,3.16
23/11/1991,BLACK OR WHITE,MICHAEL JACKSON,2,14,3.22
07/12/1991,DON'T LET THE SUN GO DOWN ON ME,GEORGE MICHAEL & ELTON JOHN,2,31,5.36
21/12/1991,BOHEMIAN RHAPSODY/THESE ARE THE DAYS OF OUR LIVES,QUEEN,5,49,5.54
25/01/1992,GOODNIGHT GIRL,WET WET WET,4,14,3.41
22/02/1992,STAY,SHAKESPEAR'S SISTER,8,4,3.47
18/04/1992,DEEPLY DIPPY,RIGHT SAID FRED,3,12,3.21
09/05/1992,PLEASE DON'T GO/GAME BOY,KWS,5,24,3.33
13/06/1992,ABBA-ESQUE EP,ERASURE,5,13,4.45
18/07/1992,AIN'T NO DOUBT,JIMMY NAIL,3,14,4.07
08/08/1992,RHYTHM IS A DANCER,SNAP,6,18,5.16
19/09/1992,EBENEEZER GOODE,SHAMEN,4,15,3.54
17/10/1992,SLEEPING SATELLITE,TASMIN ARCHER,2,18,4.18
31/10/1992,END OF THE ROAD,BOYZ II MEN,3,15,5.51
21/11/1992,WOULD I LIE TO YOU,CHARLES & EDDIE,2,18,3.24
05/12/1992,I WILL ALWAYS LOVE YOU,WHITNEY HOUSTON,10,22,4.31
13/02/1993,NO LIMIT,2 UNLIMITED,5,8,3.44
20/03/1993,OH CAROLINA,SHAGGY,2,11,3.14
03/04/1993,YOUNG AT HEART,BLUEBELLS,4,14,5.22
01/05/1993,FIVE LIVE EP,GEORGE MICHAEL & QUEEN WITH LISA STANSFIELD,3,12,5.18
22/05/1993,ALL THAT SHE WANTS,ACE OF BASE,3,18,3.31
12/06/1993,(I CAN'T HELP) FALLING IN LOVE WITH YOU,UB40,2,39,3.27
26/06/1993,DREAMS,GABRIELLE,3,6,3.42
17/07/1993,PRAY,TAKE THAT,4,4,3.43
14/08/1993,LIVING ON MY OWN,FREDDIE MERCURY,2,16,3.38
28/08/1993,MR VAIN,CULTURE BEAT,4,7,5.36
25/09/1993,BOOM! SHAKE THE ROOM,JAZZY JEFF & THE FRESH PRINCE,2,20,3.48
09/10/1993,RELIGHT MY FIRE,TAKE THAT FT. LULU,2,15,4.09
23/10/1993,I'D DO ANYTHING FOR LOVE (BUT I WON'T DO THAT),MEAT LOAF,7,46,12.01
11/12/1993,MR BLOBBY,MR BLOBBY,1,9,3.28
18/12/1993,BABE,TAKE THAT,1,4,4.51
25/12/1993,MR BLOBBY,MR BLOBBY,2,9,3.28
08/01/1994,TWIST & SHOUT,CHAKA DEMUS & PLIERS FT. JACK RADICS & TAXI GANG,2,13,3.57
22/01/1994,THINGS CAN ONLY GET BETTER,D:REAM,4,26,4.18
19/02/1994,WITHOUT YOU,MARIAH CAREY,4,11,3.33
19/03/1994,DOOP,DOOP,3,4,3.08
09/04/1994,EVERYTHING CHANGES,TAKE THAT,2,18,3.33
23/04/1994,THE MOST BEAUTIFUL GIRL IN THE WORLD,PRINCE,2,36,3.53
07/05/1994,THE REAL THING,TONY DI BART,1,14,3.35
14/05/1994,INSIDE,STILTSKIN,1,6,5.57
21/05/1994,COME ON YOU REDS,MANCHESTER UNITED FOOTBALL CLUB,1,16,3.24
04/06/1994,LOVE IS ALL AROUND,WET WET WET,15,18,4.06
17/09/1994,SATURDAY NIGHT,WHIGFIELD,4,14,4.00
15/10/1994,SURE,TAKE THAT,2,4,3.40
29/10/1994,BABY COME BACK,PATO BANTON,4,14,3.53
26/11/1994,LET ME BE YOUR FANTASY,BABY D,2,22,7.50
10/12/1994,STAY ANOTHER DAY,EAST 17,5,16,4.27
14/01/1995,COTTON EYE JOE,REDNEX,3,14,3.14
04/02/1995,THINK TWICE,CELINE DION,7,11,4.48
25/03/1995,LOVE CAN BUILD A BRIDGE,"CHER, CHRISSIE HYNDE, NENEH CHERRY WITH ERIC CLAPTON",1,23,4.07
01/04/1995,DON'T STOP (WIGGLE WIGGLE),OUTHERE BROTHERS,1,26,3.17
08/04/1995,BACK FOR GOOD,TAKE THAT,4,13,4.02
06/05/1995,SOME MIGHT SAY,OASIS,1,14,5.28
13/05/1995,DREAMER,LIVIN' JOY,1,7,3.43
20/05/1995,UNCHAINED MELODY/(THERE'LL BE BLUEBIRDS OVER) WHITE CLIFFS OF DOVER,ROBSON GREEN & JEROME FLYNN,7,67,3.19
08/07/1995,BOOM BOOM BOOM,OUTHERE BROTHERS,4,14,3.13
05/08/1995,NEVER FORGET,TAKE THAT,3,12,6.24
26/08/1995,COUNTRY HOUSE,BLUR,2,13,3.57
09/09/1995,YOU ARE NOT ALONE,MICHAEL JACKSON,2,17,5.45
23/09/1995,BOOMBASTIC,SHAGGY,1,10,4.07
30/09/1995,FAIRGROUND,SIMPLY RED,4,10,5.33
28/10/1995,GANGSTA'S PARADISE,COOLIO FT. LV,2,18,4.00
11/11/1995,I BELIEVE/UP ON THE ROOF,ROBSON GREEN & JEROME FLYNN,4,24,2.07
09/12/1995,EARTH SONG,MICHAEL JACKSON,6,10,6.46
20/01/1996,JESUS TO A CHILD,GEORGE MICHAEL,1,16,6.51
27/01/1996,SPACEMAN,BABYLON ZOO,5,8,4.02
02/03/1996,DON'T LOOK BACK IN ANGER,OASIS,1,24,4.47
09/03/1996,HOW DEEP IS YOUR LOVE,TAKE THAT,3,21,3.40
30/03/1996,FIRESTARTER,PRODIGY,3,11,4.39
20/04/1996,RETURN OF THE MACK,MARK MORRISON,2,18,3.33
04/05/1996,FASTLOVE,GEORGE MICHAEL,3,8,5.24
25/05/1996,OOH AAH... JUST A LITTLE BIT,GINA G,1,28,3.31
01/06/1996,THREE LIONS (THE OFFICIAL SONG OF THE ENGLAND FOOTBALL TEAM),BADDIEL & SKINNER & LIGHTNING SEEDS,1,60,3.46
08/06/1996,KILLING ME SOFTLY,FUGEES,4,17,4.58
06/07/1996,THREE LIONS (THE OFFICIAL SONG OF THE ENGLAND FOOTBALL TEAM),BADDIEL & SKINNER & LIGHTNING SEEDS,1,60,3.46
13/07/1996,KILLING ME SOFTLY,FUGEES,1,17,4.58
20/07/1996,FOREVER LOVE,GARY BARLOW,1,12,4.50
27/07/1996,WANNABE,SPICE GIRLS,7,7,2.55
14/09/1996,FLAVA,PETER ANDRE,1,5,3.52
21/09/1996,READY OR NOT,FUGEES,2,12,3.46
05/10/1996,BREAKFAST AT TIFFANY'S,DEEP BLUE SOMETHING,1,22,4.17
12/10/1996,SETTING SUN,CHEMICAL BROTHERS,1,11,5.28
19/10/1996,WORDS,BOYZONE,1,5,4.01
26/10/1996,SAY YOU'LL BE THERE,SPICE GIRLS,2,19,3.57
09/11/1996,WHAT BECOMES OF THE BROKENHEARTED/SATURDAY NIGHT AT THE MOVIES/YOU'LL NEVER WALK ALONE,ROBSON GREEN & JEROME FLYNN,2,86,3.21
23/11/1996,BREATHE,PRODIGY,2,7,5.34
07/12/1996,I FEEL YOU,PETER ANDRE,1,10,5.04
14/12/1996,A DIFFERENT BEAT,BOYZONE,1,16,4.14
21/12/1996,KNOCKIN' ON HEAVEN'S DOOR/THROW THESE GUNS AWAY,DUNBLANE,1,47,2.30
28/12/1996,2 BECOME 1,SPICE GIRLS,3,10,4.01
18/01/1997,PROFESSIONAL WIDOW (IT'S GOT TO BE BIG),TORI AMOS,1,39,3.45
25/01/1997,YOUR WOMAN,WHITE TOWN,1,10,4.19
01/02/1997,BEETLEBUM,BLUR,1,9,5.05
08/02/1997,AIN'T NOBODY,LL COOL J,1,12,4.37
15/02/1997,DISCOTHEQUE,U2,1,11,5.18
22/02/1997,DON'T SPEAK,NO DOUBT,3,11,4.23
15/03/1997,MAMA/WHO DO YOU THINK YOU ARE,SPICE GIRLS,3,29,5.04
05/04/1997,BLOCK ROCKIN' BEATS,CHEMICAL BROTHERS,1,19,3.23
12/04/1997,I BELIEVE I CAN FLY,R KELLY,3,19,5.20
03/05/1997,BLOOD ON THE DANCE FLOOR,MICHAEL JACKSON,1,24,4.13
10/05/1997,LOVE WON'T WAIT,GARY BARLOW,1,15,4.15
17/05/1997,YOU'RE NOT ALONE,OLIVE,2,16,4.30
31/05/1997,I WANNA BE THE ONE,ETERNAL FT. BEBE WINANS,1,18,3.36
07/06/1997,MMMBOP,HANSON,3,6,3.59
28/06/1997,I'LL BE MISSING YOU,PUFF DADDY & FAITH EVANS FT. 112,3,19,5.06
19/07/1997,D'YOU KNOW WHAT I MEAN?,OASIS,1,23,7.42
26/07/1997,I'LL BE MISSING YOU,PUFF DADDY & FAITH EVANS FT. 112,3,19,5.06
16/08/1997,MEN IN BLACK,WILL SMITH,4,12,3.47
13/09/1997,THE DRUGS DON'T WORK,VERVE,1,20,5.04
20/09/1997,SOMETHING ABOUT THE WAY YOU LOOK TONIGHT/CANDLE IN THE WIND 97,ELTON JOHN,5,62,4.00
25/10/1997,SPICE UP YOUR LIFE,SPICE GIRLS,1,18,2.53
01/11/1997,BARBIE GIRL,AQUA,4,11,3.17
29/11/1997,PERFECT DAY,VARIOUS ARTISTS,2,11,3.45
13/12/1997,TELETUBBIES SAY EH-OH!,TELETUBBIES,2,22,3.30
27/12/1997,TOO MUCH,SPICE GIRLS,2,8,4.31
10/01/1998,PERFECT DAY,VARIOUS ARTISTS,1,11,3.45
17/01/1998,NEVER EVER,ALL SAINTS,1,10,6.27
24/01/1998,ALL AROUND THE WORLD,OASIS,1,20,9.20
31/01/1998,YOU MAKE ME WANNA...,USHER,1,20,3.39
07/02/1998,DOCTOR JONES,AQUA,2,12,3.23
21/02/1998,MY HEART WILL GO ON,CELINE DION,1,19,4.40
28/02/1998,BRIMFUL OF ASHA,CORNERSHOP,1,15,4.07
07/03/1998,FROZEN,MADONNA,1,6,6.18
14/03/1998,MY HEART WILL GO ON,CELINE DION,1,19,4.40
21/03/1998,IT'S LIKE THAT,RUN DMC VERSUS JASON NEVINS,6,14,4.10
02/05/1998,ALL THAT I NEED,BOYZONE,1,15,3.41
09/05/1998,UNDER THE BRIDGE/LADY MARMALADE,ALL SAINTS,1,31,5.01
16/05/1998,TURN BACK TIME,AQUA,1,14,4.08
23/05/1998,UNDER THE BRIDGE/LADY MARMALADE,ALL SAINTS,1,31,5.01
30/05/1998,FEEL IT,TAMPERER FT. MAYA,1,7,2.57
06/06/1998,C'EST LA VIE,B*WITCHED,2,12,2.52
20/06/1998,THREE LIONS '98,BADDIEL & SKINNER & LIGHTNING SEEDS,3,15,4.00
11/07/1998,BECAUSE WE WANT TO,BILLIE,1,18,3.50
18/07/1998,FREAK ME,ANOTHER LEVEL,1,8,4.55
25/07/1998,DEEPER UNDERGROUND,JAMIROQUAI,1,18,4.44
01/08/1998,VIVA FOREVER,SPICE GIRLS,2,12,5.10
15/08/1998,NO MATTER WHAT,BOYZONE,3,14,4.34
05/09/1998,IF YOU TOLERATE THIS YOUR CHILDREN WILL BE NEXT,MANIC STREET PREACHERS,1,47,4.50
12/09/1998,BOOTIE CALL,ALL SAINTS,1,11,3.35
19/09/1998,MILLENNIUM,ROBBIE WILLIAMS,1,10,4.08
26/09/1998,I WANT YOU BACK,MELANIE B FT. MISSY 'MISDEMEANOR' ELLIOTT,1,15,3.26
03/10/1998,ROLLERCOASTER,B*WITCHED,2,13,3.23
17/10/1998,GIRLFRIEND,BILLIE,1,10,3.52
24/10/1998,GYM AND TONIC,SPACEDUST,1,13,3.20
31/10/1998,BELIEVE,CHER,7,7,3.59
19/12/1998,TO YOU I BELONG,B*WITCHED,1,15,3.04
26/12/1998,GOODBYE,SPICE GIRLS,1,7,4.23
02/01/1999,CHOCOLATE SALTY BALLS (PS I LOVE YOU),CHEF,1,37,3.58
09/01/1999,HEARTBEAT/TRAGEDY,STEPS,1,17,4.30
16/01/1999,PRAISE YOU,FATBOY SLIM,1,10,3.47
23/01/1999,A LITTLE BIT MORE,911,1,17,3.48
30/01/1999,PRETTY FLY (FOR A WHITE GUY),OFFSPRING,1,28,3.08
06/02/1999,YOU DON'T KNOW ME,ARMAND VAN HELDEN FT. DUANE HAEDEN,1,17,3.20
13/02/1999,MARIA,BLONDIE,1,5,4.51
20/02/1999,FLY AWAY,LENNY KRAVITZ,1,8,3.41
27/02/1999,BABY ONE MORE TIME,BRITNEY SPEARS,2,18,3.31
13/03/1999,WHEN THE GOING GETS TOUGH,BOYZONE,2,25,3.36
27/03/1999,BLAME IT ON THE WEATHERMAN,B*WITCHED,1,26,3.33
03/04/1999,FLAT BEAT,MR OIZO,2,9,5.16
17/04/1999,PERFECT MOMENT,MARTINE MCCUTCHEON,2,14,3.52
01/05/1999,SWEAR IT AGAIN,WESTLIFE,2,14,4.07
15/05/1999,I WANT IT THAT WAY,BACKSTREET BOYS,1,18,3.33
22/05/1999,YOU NEEDED ME,BOYZONE,1,13,3.28
29/05/1999,SWEET LIKE CHOCOLATE,SHANKS & BIGFOOT,2,20,3.31
12/06/1999,EVERYBODY'S FREE (TO WEAR SUNSCREEN),BAZ LUHRMANN,1,36,5.09
19/06/1999,BRING IT ALL BACK,S CLUB 7,1,17,3.34
26/06/1999,BOOM BOOM BOOM BOOM!!,VENGABOYS,1,21,3.21
03/07/1999,9PM (TILL I COME),ATB,2,17,3.13
17/07/1999,LIVIN' LA VIDA LOCA,RICKY MARTIN,3,19,4.03
07/08/1999,WHEN YOU SAY NOTHING AT ALL,RONAN KEATING,2,27,4.16
21/08/1999,IF I LET YOU GO,WESTLIFE,1,15,3.41
28/08/1999,MI CHICO LATINO,GERI HALLIWELL,1,15,3.13
04/09/1999,MAMBO NO 5 (A LITTLE BIT OF…),LOU BEGA,2,29,3.40
18/09/1999,WE'RE GOING TO IBIZA!,VENGABOYS,1,21,3.36
25/09/1999,BLUE (DA BA DEE),EIFFEL 65,3,16,4.43
16/10/1999,GENIE IN A BOTTLE,CHRISTINA AGUILERA,2,17,3.37
30/10/1999,FLYING WITHOUT WINGS,WESTLIFE,1,20,3.35
06/11/1999,KEEP ON MOVIN',FIVE,1,14,3.17
13/11/1999,LIFT ME UP,GERI HALLIWELL,1,10,3.51
20/11/1999,SHE'S THE ONE/IT'S ONLY US,ROBBIE WILLIAMS,1,26,4.18
27/11/1999,KING OF MY CASTLE,WAMDUE PROJECT,1,17,3.26
04/12/1999,MILLENNIUM PRAYER,CLIFF RICHARD,3,17,4.41
25/12/1999,I HAVE A DREAM/SEASONS IN THE SUN,WESTLIFE,4,33,4.13
22/01/2000,THE MASSES AGAINST THE CLASSES,MANIC STREET PREACHERS,1,30,3.22
29/01/2000,BORN TO MAKE YOU HAPPY,BRITNEY SPEARS,1,22,4.03
05/02/2000,RISE,GABRIELLE,2,4,3.38
19/02/2000,GO LET IT OUT,OASIS,1,13,4.40
26/02/2000,PURE SHORES,ALL SAINTS,2,11,4.28
11/03/2000,AMERICAN PIE,MADONNA,1,12,4.33
18/03/2000,DON'T GIVE UP,CHICANE FT. BRYAN ADAMS,1,13,3.30
25/03/2000,BAG IT UP,GERI HALLIWELL,1,9,3.45
01/04/2000,NEVER BE THE SAME AGAIN,MELANIE C & LISA 'LEFT EYE' LOPES,1,23,4.14
08/04/2000,FOOL AGAIN,WESTLIFE,1,10,3.55
15/04/2000,FILL ME IN,CRAIG DAVID,1,10,3.51
22/04/2000,TOCA'S MIRACLE,FRAGMA,2,14,3.22
06/05/2000,BOUND 4 DA RELOAD (CASUALTY),OXIDE & NEUTRINO,1,28,4.52
13/05/2000,OOPS!... I DID IT AGAIN,BRITNEY SPEARS,1,23,3.31
20/05/2000,DON'T CALL ME BABY,MADISON AVENUE,1,18,3.48
27/05/2000,DAY & NIGHT,BILLIE PIPER,1,11,3.17
03/06/2000,IT FEELS SO GOOD,SONIQUE,3,16,2.42
24/06/2000,YOU SEE THE TROUBLE WITH ME,BLACK LEGEND,1,27,4.54
01/07/2000,SPINNING AROUND,KYLIE MINOGUE,1,15,3.26
08/07/2000,THE REAL SLIM SHADY,EMINEM,1,19,4.44
15/07/2000,BREATHLESS,CORRS,1,10,3.27
22/07/2000,LIFE IS A ROLLERCOASTER,RONAN KEATING,1,23,3.54
29/07/2000,WE WILL ROCK YOU,FIVE & QUEEN,1,16,3.09
05/08/2000,7 DAYS,CRAIG DAVID,1,6,3.55
12/08/2000,ROCK DJ,ROBBIE WILLIAMS,1,7,4.18
19/08/2000,I TURN TO YOU,MELANIE C,1,13,4.12
26/08/2000,GROOVEJET (IF THIS AIN'T LOVE),SPILLER,1,30,3.59
02/09/2000,MUSIC,MADONNA,1,5,3.45
09/09/2000,TAKE ON ME,A1,1,10,3.32
16/09/2000,LADY (HEAR ME TONIGHT),MODJO,2,22,3.38
30/09/2000,AGAINST ALL ODDS,MARIAH CAREY FT. WESTLIFE,2,16,3.20
14/10/2000,BLACK COFFEE,ALL SAINTS,1,12,4.49
21/10/2000,BEAUTIFUL DAY,U2,1,13,4.08
28/10/2000,STOMP,STEPS,1,5,3.20
04/11/2000,HOLLER/LET LOVE LEAD THE WAY,SPICE GIRLS,1,28,4.15
11/11/2000,MY LOVE,WESTLIFE,1,7,3.51
18/11/2000,SAME OLD BRAND NEW YOU,A1,1,22,4.14
25/11/2000,CAN'T FIGHT THE MOONLIGHT,LEANN RIMES,1,25,3.35
02/12/2000,INDEPENDENT WOMEN PART 1,DESTINY'S CHILD,1,24,3.41
09/12/2000,NEVER HAD A DREAM COME TRUE,S CLUB 7,1,27,4.00
16/12/2000,STAN,EMINEM,1,4,6.44
23/12/2000,CAN WE FIX IT,BOB THE BUILDER,3,13,3.07
13/01/2001,TOUCH ME,RUI DA SILVA FT. CASSANDRA,1,8,8.35
20/01/2001,LOVE DON'T COST A THING,JENNIFER LOPEZ,1,23,3.42
27/01/2001,ROLLIN',LIMP BIZKIT,2,7,3.33
10/02/2001,WHOLE AGAIN,ATOMIC KITTEN,4,11,3.05
10/03/2001,IT WASN'T ME,SHAGGY,1,12,3.47
17/03/2001,UPTOWN GIRL,WESTLIFE,1,11,3.05
24/03/2001,PURE AND SIMPLE,HEAR'SAY,3,15,3.46
14/04/2001,WHAT TOOK YOU SO LONG,EMMA BUNTON,2,21,4.01
28/04/2001,SURVIVOR,DESTINY'S CHILD,1,8,4.14
05/05/2001,DON'T STOP MOVIN',S CLUB 7,1,17,3.53
12/05/2001,IT'S RAINING MEN,GERI HALLIWELL,2,16,4.14
26/05/2001,DON'T STOP MOVIN',S CLUB 7,1,17,3.53
02/06/2001,DO YOU REALLY LIKE IT,DJ PIED PIPER & THE MASTERS OF CEREMONIES,1,21,3.57
09/06/2001,ANGEL,SHAGGY FT. RAYVON,3,5,3.55
30/06/2001,LADY MARMALADE,CHRISTINA AGUILERA/LIL' KIM/MYA/PINK,1,14,4.24
07/07/2001,THE WAY TO YOUR LOVE,HEAR'SAY,1,20,3.15
14/07/2001,ANOTHER CHANCE,ROGER SANCHEZ,1,14,3.26
21/07/2001,ETERNITY/THE ROAD TO MANDALAY,ROBBIE WILLIAMS,2,29,5.02
04/08/2001,ETERNAL FLAME,ATOMIC KITTEN,2,13,3.13
18/08/2001,21 SECONDS,SO SOLID CREW,1,10,5.02
25/08/2001,LET'S DANCE,FIVE,2,11,3.38
08/09/2001,TOO CLOSE,BLUE,1,9,3.46
15/09/2001,MAMBO NO 5,BOB THE BUILDER,1,10,3.40
22/09/2001,HEY BABY,DJ OTZI,1,8,3.40
29/09/2001,CAN'T GET YOU OUT OF MY HEAD,KYLIE MINOGUE,4,28,3.50
27/10/2001,BECAUSE I GOT HIGH,AFROMAN,3,18,3.17
17/11/2001,QUEEN OF MY HEART,WESTLIFE,1,17,4.19
24/11/2001,IF YOU COME BACK,BLUE,1,16,3.28
01/12/2001,HAVE YOU EVER,S CLUB 7,1,13,3.21
08/12/2001,GOTTA GET THRU THIS,DANIEL BEDINGFIELD,2,19,2.42
22/12/2001,SOMETHIN' STUPID,ROBBIE WILLIAMS & NICOLE KIDMAN,3,16,2.50
12/01/2002,GOTTA GET THRU THIS,DANIEL BEDINGFIELD,1,19,2.42
19/01/2002,MORE THAN A WOMAN,AALIYAH,1,17,3.50
26/01/2002,MY SWEET LORD,GEORGE HARRISON,1,13,4.41
02/02/2002,HERO,ENRIQUE IGLESIAS,4,4,4.24
02/03/2002,WORLD OF OUR OWN,WESTLIFE,1,16,3.31
09/03/2002,ANYTHING IS POSSIBLE/ EVERGREEN,WILL YOUNG,3,31,3.42
30/03/2002,UNCHAINED MELODY,GARETH GATES,4,16,3.53
27/04/2002,THE HINDU TIMES,OASIS,1,15,3.48
04/05/2002,FREAK LIKE ME,SUGABABES,1,13,3.15
11/05/2002,KISS KISS,HOLLY VALANCE,1,9,3.24
18/05/2002,IF TOMORROW NEVER COMES,RONAN KEATING,1,23,3.34
25/05/2002,JUST A LITTLE,LIBERTY X,1,13,3.56
01/06/2002,WITHOUT ME,EMINEM,1,10,4.50
08/06/2002,LIGHT MY FIRE,WILL YOUNG,2,13,3.29
22/06/2002,A LITTLE LESS CONVERSATION,ELVIS VS JXL,4,26,3.33
20/07/2002,ANYONE OF US (STUPID MISTAKE),GARETH GATES,3,29,3.47
10/08/2002,COLOURBLIND,DARIUS,2,11,3.35
24/08/2002,ROUND ROUND,SUGABABES,1,11,3.56
31/08/2002,CROSSROADS,BLAZIN' SQUAD,1,10,3.08
07/09/2002,THE TIDE IS HIGH (GET THE FEELING),ATOMIC KITTEN,3,34,3.25
28/09/2002,JUST LIKE A PILL,PINK,1,16,3.57
05/10/2002,THE LONG AND WINDING ROAD/SUSPICIOUS MINDS,WILL YOUNG & GARETH GATES/GARETH GATES,2,42,3.29
19/10/2002,THE KETCHUP SONG (ASEREJE),LAS KETCHUP,1,26,3.33
26/10/2002,DILEMMA,NELLY FT. KELLY ROWLAND,2,7,4.49
09/11/2002,HEAVEN,DJ SAMMY & YANOU FT. DO,1,6,3.54
16/11/2002,UNBREAKABLE,WESTLIFE,1,11,4.32
23/11/2002,DIRRTY,CHRISTINA AGUILERA FT. REDMAN,2,6,4.58
07/12/2002,IF YOU'RE NOT THE ONE,DANIEL BEDINGFIELD,1,21,4.17
14/12/2002,LOSE YOURSELF,EMINEM,1,13,5.20
21/12/2002,SORRY SEEMS TO BE THE HARDEST WORD,BLUE FT. ELTON JOHN,1,34,3.41
28/12/2002,SOUND OF THE UNDERGROUND,GIRLS ALOUD,4,24,3.41
25/01/2003,STOP LIVING THE LIE,DAVID SNEDDON,2,19,3.55
08/02/2003,ALL THE THINGS SHE SAID,t.A.T.u.,4,23,3.34
08/03/2003,BEAUTIFUL,CHRISTINA AGUILERA,2,9,3.58
22/03/2003,SPIRIT IN THE SKY,GARETH GATES FT. THE KUMARS,2,17,3.26
05/04/2003,MAKE LUV,ROOM 5 FT. OLIVER CHEATHAM,4,8,3.32
03/05/2003,YOU SAID NO,BUSTED,1,11,2.47
10/05/2003,LONELINESS,TOMCRAFT,1,10,3.48
17/05/2003,IGNITION,R KELLY,4,8,3.16
14/06/2003,BRING ME TO LIFE,EVANESCENCE,4,16,3.55
12/07/2003,CRAZY IN LOVE,BEYONCE,3,13,3.56
02/08/2003,NEVER GONNA LEAVE YOUR SIDE,DANIEL BEDINGFIELD,1,27,3.53
09/08/2003,BREATHE,BLU CANTRELL FT. SEAN PAUL,4,7,3.48
06/09/2003,ARE YOU READY FOR LOVE,ELTON JOHN,1,22,3.32
13/09/2003,WHERE IS THE LOVE,BLACK EYED PEAS,6,17,4.32
25/10/2003,HOLE IN THE HEAD,SUGABABES,1,16,3.38
01/11/2003,BE FAITHFUL,FATMAN SCOOP FT. THE CROOKLYN CLAN,2,11,2.45
15/11/2003,SLOW,KYLIE MINOGUE,1,4,3.13
22/11/2003,CRASHED THE WEDDING,BUSTED,1,19,2.38
29/11/2003,MANDY,WESTLIFE,1,5,3.19
06/12/2003,LEAVE RIGHT NOW,WILL YOUNG,2,15,3.33
20/12/2003,CHANGES,OZZY & KELLY OSBOURNE,1,7,4.07
27/12/2003,MAD WORLD,MICHAEL ANDREWS FT. GARY JULES,3,9,3.09
17/01/2004,ALL THIS TIME,MICHELLE,3,13,4.22
07/02/2004,TAKE ME TO THE CLOUDS ABOVE,LMC V U2,2,27,2.51
21/02/2004,WITH A LITTLE HELP FROM MY FRIENDS/MEASURE OF A MAN,SAM & MARK,1,51,4.07
28/02/2004,WHO'S DAVID,BUSTED,1,11,3.30
06/03/2004,MYSTERIOUS GIRL,PETER ANDRE FT. BUBBLER RANX,1,15,3.37
13/03/2004,TOXIC,BRITNEY SPEARS,1,5,3.18
20/03/2004,CHA CHA SLIDE,DJ CASPER,1,13,3.42
27/03/2004,YEAH,USHER FT. LIL' JON & LUDACRIS,2,4,4.10
10/04/2004,FIVE COLOURS IN HER HAIR,McFLY,2,24,2.57
24/04/2004,F**K IT (I DON'T WANT YOU BACK),EAMON,4,31,3.44
22/05/2004,F.U.R.B (F U RIGHT BACK),FRANKEE,3,24,3.18
12/06/2004,I DON'T WANNA KNOW,MARIO WINANS FT. ENYA & P.DIDDY,2,18,4.17
26/06/2004,EVERYTIME,BRITNEY SPEARS,1,9,3.50
03/07/2004,OBVIOUSLY,McFLY,1,9,3.18
10/07/2004,BURN,USHER,2,4,3.51
24/07/2004,LOLA'S THEME,SHAPESHIFTERS,1,12,5.36
31/07/2004,DRY YOUR EYES,STREETS,1,13,4.29
07/08/2004,THUNDERBIRDS/3AM,BUSTED,2,16,3.09
21/08/2004,BABYCAKES,3 OF A KIND,1,9,2.34
28/08/2004,THESE WORDS,NATASHA BEDINGFIELD,2,11,3.36
11/09/2004,MY PLACE/FLAP YOUR WINGS,NELLY,1,24,4.32
18/09/2004,REAL TO ME,BRIAN McFADDEN,1,10,3.45
25/09/2004,CALL ON ME,ERIC PRYDZ,3,10,2.51
16/10/2004,RADIO,ROBBIE WILLIAMS,1,5,3.51
23/10/2004,CALL ON ME,ERIC PRYDZ,2,10,2.51
06/11/2004,WONDERFUL,JA RULE FT. R.KELLY & ASHANTI,1,9,4.30
13/11/2004,JUST LOSE IT,EMINEM,1,12,4.08
20/11/2004,VERTIGO,U2,1,7,3.13
27/11/2004,I'LL STAND BY YOU,GIRLS ALOUD,2,17,3.43
11/12/2004,DO THEY KNOW IT'S CHRISTMAS?,BAND AID 20,4,28,5.05
08/01/2005,AGAINST ALL ODDS,STEVE BROOKSTEIN,1,16,3.14
15/01/2005,JAILHOUSE ROCK,ELVIS PRESLEY,1,14,2.35
22/01/2005,ONE NIGHT/I GOT STUNG,ELVIS PRESLEY,1,21,2.32
29/01/2005,GOODIES,CIARA FT. PETEY PABLO,1,7,3.43
05/02/2005,IT'S NOW OR NEVER **,ELVIS PRESLEY,1,20,3.14
12/02/2005,LIKE TOY SOLDIERS,EMINEM,1,17,4.56
19/02/2005,SOMETIMES YOU CAN'T MAKE IT ON YOUR OWN,U2,1,39,5.05
26/02/2005,GET RIGHT,JENNIFER LOPEZ,1,9,3.45
05/03/2005,OVER AND OVER,NELLY FT. TIM MCGRAW,1,13,4.13
12/03/2005,DAKOTA,STEREOPHONICS,1,6,4.57
19/03/2005,ALL ABOUT YOU/YOU'VE GOT A FRIEND,MCFLY,1,33,3.06
26/03/2005,(IS THIS THE WAY TO) AMARILLO?,TONY CHRISTIE FT. PETER KAY,7,30,3.13
14/05/2005,LONELY,AKON,2,6,3.55
28/05/2005,LYLA,OASIS,1,4,5.10
04/06/2005,AXEL F,CRAZY FROG,4,6,2.48
02/07/2005,GHETTO GOSPEL,2PAC FT. ELTON JOHN,3,13,3.58
23/07/2005,YOU'RE BEAUTIFUL,JAMES BLUNT,5,16,3.29
